Code Ville 1,Code Pays 1,Ville 1,Code Ville 2,Code Pays 2,Ville 2,Passagers 2000,Distance (km)
CJU,KORR,CHEJU,KWJ,KORR,KWANGJU,750766,182
ATL,UNST,ATLANTA,MSY,UNST,NEW ORLEANS,747782,685
SEA,UNST,SEATTLE,SLC,UNST,SALT LAKE CITY,747358,1107
DEN,UNST,DENVER,SLC,UNST,SALT LAKE CITY,747270,611
ATL,UNST,ATLANTA,JAX,UNST,JACKSONVILLE,746840,446
LAS,UNST,LAS VEGAS,SLC,UNST,SALT LAKE CITY,746106,592
CHI,UNST,CHICAGO **,FMY,UNST,FORT MYERS,740990,1778
KPO,KORR,POHANG,SEL,KORR,SEOUL **,740851,291
ABZ,UNKG,ABERDEEN,LON,UNKG,LONDON **,739850,662
LAX,UNST,LOS ANGELES **,RNO,UNST,RENO,738528,630
HFD,UNST,HARTFORD SPRINGFIELDS,BWI,UNST,BALTIMORE,736996,456
GVA,SWTZ,GENEVA,PAR,FRAN,PARIS **,736657,395
MKC,UNST,KANSAS CITY,STL,UNST,ST LOUIS,733704,367
BRU,BELG,BRUSSELS,MAD,SPAN,MADRID **,732240,1315
CHI,UNST,CHICAGO **,FRA,GERF,FRANKFURT,732163,6959
